Numero_da_Ocorrencia,Numero_da_Ficha,Operador_Padronizado,Classificacao_da_Ocorrencia,Data_da_Ocorrencia,Hora_da_Ocorrencia,Municipio,UF,Regiao,Descricao_do_Tipo,ICAO,Tipo_de_Aerodromo,Historico,Matricula,Categoria_da_Aeronave,Tipo_de_Ocorrencia,Fase_da_Operacao,Operacao,Danos_a_Aeronave,Aerodromo_de_Destino,Aerodromo_de_Origem,Lesoes_Fatais_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Leves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Ilesos_Tripulantes,Ilesos_Passageiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Modelo,CLS,Tipo_ICAO,PMD,Numero_de_Assentos,Nome_do_Fabricante,PSSO
27047,202103837,CORPO DE BOMB.MIL.DO ESTADO DO RJ,Incidente Grave,2021-02-05,21:00,CABO FRIO,RJ,Sudeste,CONTATO ANORMAL COM A PISTA,SBCB,Público,"A aeronave decolou de uma Área de Pouso Eventual (ZZZZ), em Arraial do Cabo, Rio de Janeiro, RJ, com destino ao Heliporto Lagoa (SDHL), Rio de Janeiro, RJ, a fim de regressar para a Base do Corpo de Bombeiros, com dois pilotos a bordo. Durante o voo de cruzeiro, em virtude das más condições meteorológicas, a tripulação decidiu por alternar o pouso no aeródromo Cabo Frio (SBCB), Cabo Frio, RJ. Ao efetuar o pouso, a aeronave tocou o solo por três vezes e guinou para a esquerda, obrigando a tripulação a efetuar um pouso brusco a fim de cessar a guinada e evitar o acidente. A aeronave teve danos leves. Os dois tripulantes saíram ilesos.",PPMBM,ADE,ARC,Pouso,Operação Pública,Leve,SDHL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,AS 350 B2,H1T,AS50,2250.0,6.0,HELIBRAS,verdadeiro
25324,202027489,WESCON COBRANÇAS E PARTICIPAÇÕES LTDA,Incidente Grave,2020-09-13,16:45,ANGRA DOS REIS,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SDAG,Público,"A AERONAVE DECOLOU DO AERÓDROMO DE ANGRA DOS REIS (SDAG), RJ, COM DESTINO AO AERÓDROMO CAMPO DE MARTE (SBMT), SÃO PAULO, SP, A FIM DE REALIZAR UM VOO PRIVADO, COM UM TRIPULANTE E DOIS PASSAGEIROS A BORDO. DURANTE A SUBIDA, A AERONAVE APRESENTOU PANE ELÉTRICA TOTAL E PERDEU OS SISTEMAS DE RÁDIO, GPS E TREM DE POUSO. O PILOTO EFETUOU UM POUSO SEM TREM NO AERÓDROMO DE ORIGEM. A AERONAVE TEVE DANOS LEVES. O TRIPULANTE E OS PASSAGEIROS SAÍRAM ILESOS.",PPIPM,TPP,SCF-NP,Subida,Voo Privado,Leve,SBMT,SDAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,C35,L1P,BE35,1225.0,6.0,BEECH AIRCRAFT,verdadeiro
25323,202045819,IGREJA DO EVANGELHO QUADRANGULAR CED,Acidente,2020-09-14,20:00,ANAPU,PA,Norte,EXCURSÃO DE PISTA,Aeródromo não cadastrado,,"A aeronave decolou do Aeródromo Brigadeiro Protásio de oliveira (SBJC), Belém, PA, com destino ao Aeródromo de Altamira (SBHT), PA, por volta das 17h40min (UTC), afim de realizar transporte de passageiros, com um piloto e três passageiros a bordo. Durante o voo, o piloto relatou haver tido a necessidade de pousar na área de pouso não registrada localizada no município de Anapu, PA. Durante o pouso em Anapu ocorreu a saída da aeronave pela cabeceira oposta. A aeronave teve danos substanciais. O tripulante e os três passageiros saíram ilesos.",PTRVU,TPP,RE,Corrida após pouso,Voo Privado,Substancial,SBHT,SBJC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,EMB-720D,L1P,PA32,1633.0,7.0,NEIVA,verdadeiro
26943,202100815,SUSY VALERIA SERAFIM DE SOUZA,Acidente,2021-02-02,12:15,SÃO FÉLIX DO XINGU,PA,Norte,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,Fora de Aeródromo,-,"A aeronave decolou de uma área não registrada, localizada no município de São Felix do Xingu, PA, com destino ao Aeródromo de São Félix do Xingu (SNFX),PA, por volta das 12h15min (UTC), a fim de realizar um voo de translado, com um piloto a bordo. A aeronave foi encontrada acidentada na região do Rio Iriri. A aeronave teve danos substanciais. O piloto sofreu lesões fatais.",PTBXV,TPP,CTOL,Indeterminada,Voo Privado,Substancial,SNFX,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182E,L1P,C182,1270.0,4.0,CESSNA AIRCRAFT,verdadeiro
26944,202182786,AERO AGRICOLA SAO MIGUEL LTDA - ME,Acidente,2021-02-01,09:20,VIAMÃO,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,-,"A aeronave decolou da Área de Pouso para Uso Aeroagrícola Claudemir, município de Viamão, RS, por volta das 09h20min (UTC), a fim de realizar voo local de pulverização, com um tripulante a bordo. Após a decolagem, a aeronave perdeu potência e colidiu o trem de pouso contra uma cerca. Na sequência colidiu a asa esquerda contra uma vala. A aeronave teve danos substanciais. O tripulante saiu ileso.",PRSTO,S05,SCF-PP,Decolagem,Operação Agrícola,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A188B,L1P,C188,1814.0,1.0,CESSNA AIRCRAFT,verdadeiro
27086,202172162,DERCI GOMES DA SILVA,Acidente,2021-02-13,18:40,NOVO PROGRESSO,PA,Norte,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,-,"A aeronave decolou do aeródromo Novo Progresso (SJNP), Novo Progresso, PA, por volta das 17h00min (UTC), a fim de realizar voo privado, com um piloto e três passageiros a bordo. Após 15min de voo, ocorreu uma falha no motor e a aeronave efetuou um pouso de emergência na área da Fazenda Beira Rio, localizada no município de Novo Progresso, PA. A aeronave teve danos substanciais. O tripulante teve lesões leves e os três passageiros saíram ilesos.",PTKQE,TPP,SCF-PP,Cruzeiro,Voo Privado,Substancial,,SJNP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,A36,L1P,BE36,1633.0,6.0,BEECH AIRCRAFT,verdadeiro
27087,202180316,,Acidente,2020-11-08,21:00,ARAPONGAS,PR,Sul,INDETERMINADO,Fora de Aeródromo,-,"A aeronave decolou da fazenda Lageado, no município de Arapongas, PR, por volta das 21h00min (UTC), a fim de realizar voo local, com um piloto a bordo. Após a decolagem, a aeronave perdeu altura e colidiu contra o solo. A aeronave teve danos substanciais. O tripulante sofreu lesões fatais.",*****,PET,UNK,Indeterminada,Voo Experimental,Substancial,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,verdadeiro
27085,202107578,SANTO ANGELO AEROAGRICOLA LTDA,Acidente,2021-02-12,16:00,CONCEIÇÃO DAS ALAGOAS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,-,"A aeronave decolou da pista CEV (Central Elétrica de Veríssimo), para aplicação de defensivo agrícola em uma fazenda.Com cerca de 20 minutos de voo, durante uma das aplicações, o piloto sentiu uma pequena vibração e saindo da manobra de aplicação, escutou um estouro vindo do motor. A aeronave perdeu potência e começou uma forte vibração.O piloto alijou a carga e realizou um pouso de emergência no canavial de uma fazenda. Ao tocar o solo, a aeronave girou e parou no sentido contrário.A aeronave teve danos substanciais.O tripulantes saiu ileso.",PRPPJ,S11,SCF-PP,Manobra,Operação Agrícola,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PA-36-375,L1P,PA36,2177.0,1.0,PIPER AIRCRAFT,verdadeiro
27085,202107578,SANTO ANGELO AEROAGRICOLA LTDA,Acidente,2021-02-12,16:00,CONCEIÇÃO DAS ALAGOAS,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,-,"A aeronave decolou da pista CEV (Central Elétrica de Veríssimo), para aplicação de defensivo agrícola em uma fazenda.Com cerca de 20 minutos de voo, durante uma das aplicações, o piloto sentiu uma pequena vibração e saindo da manobra de aplicação, escutou um estouro vindo do motor. A aeronave perdeu potência e começou uma forte vibração.O piloto alijou a carga e realizou um pouso de emergência no canavial de uma fazenda. Ao tocar o solo, a aeronave girou e parou no sentido contrário.A aeronave teve danos substanciais.O tripulantes saiu ileso.",PRPPJ,S11,SCF-PP,Manobra,Operação Agrícola,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PA-36-375,L1P,PA36,2177.0,1.0,PIPER AIRCRAFT,verdadeiro
27123,202167613,LUSA AVIACAO AGRICOLA LTDA - ME,Incidente Grave,2021-02-16,15:30,SÃO LOURENÇO DO SUL,RS,Sul,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Fora de Aeródromo,-,"A AERONAVE DECOLOU DA ÁREA DE POUSO PARA USO AEROAGRÍCOLA GRANJA BARRANCOS, NO MUNICÍPIO DE SÃO LOURENÇO DO SUL, RS, POR VOLTA DAS 13H30MIN (UTC), A FIM DE REALIZAR PULVERIZAÇÃO, COM UM PILOTO A BORDO. DURANTE A QUARTA SAÍDA, APÓS FINALIZAR A APLICAÇÃO NA ÁREA E INICIAR O RETORNO À ÁREA DE POUSO, HOUVE PERDA DE POTÊNCIA E APAGAMENTO DO MOTOR EM VOO. FOI REALIZADO POUSO FORÇADO. A AERONAVE TEVE DANOS LEVES. O TRIPULANTE SAIU ILESO.",PRPAR,T11,SCF-PP,Voo a baixa altura,Operação Agrícola,Leve,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,A188B,L1P,C188,1905.0,1.0,CESSNA AIRCRAFT,verdadeiro
25924,202048543,ANTONIO CEOLIN,Acidente,2020-10-16,14:30:00,URUGUAIANA,RS,Sul,PERDA DE CONTROLE NO SOLO,Fora de Aeródromo,-,"A aeronave decolaria da Área de Pouso para Uso Aeroagrícola Granja Santa Lourdes, município de Uruguaiana, RS, por volta das 14h30min (UTC), a fim de realizar voo local de pulverização, com um tripulante a bordo.Durante a corrida de decolagem, o piloto avistou a incursão de animais na pista e abortou a decolagem, contudo, houve a saída da pista pela lateral esquerda.A aeronave teve danos substanciais.O tripulante saiu ileso.",PRWGC,TPP,LOC-G,Decolagem,Operação Agrícola,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,AT-502B,L1T,AT5T,3629.0,1.0,AIR TRACTOR,verdadeiro
25923,202008607,CARLOS ALBERTO MENDES VASCONCELOS,Incidente Grave,2020-10-30,15:45,CAUCAIA,CE,Nordeste,COMBUSTÍVEL,Fora de Aeródromo,-,"A aeronave decolou do Aeródromo Público de Sobral (SNOB), Sobral, CE, com destino ao Aeródromo Catuleve (SJCM), Aquiraz, CE, por volta das 14h00min (UTC), a fim de realizar um voo privado, com um piloto e um passageiro a bordo. Ao sobrevoar a Praia do Cumbuco, o piloto observou uma indicação de baixo nível de combustível na aeronave, optando por realizar um pouso de precaução na referida praia. O pouso foi realizado sem intercorrências. A aeronave não teve danos. Todos a bordo saíram ilesos. Não houve danos a terceiros.",PULFI,PET,FUEL,Cruzeiro,Voo Privado,Nenhum,SJCM,SNOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,VIMANA R-12,L1P,ULAC,520.0,2.0,,verdadeiro
25924,202048543,ANTONIO CEOLIN,Acidente,2020-10-16,14:30:00,URUGUAIANA,RS,Sul,EXCURSÃO DE PISTA,Fora de Aeródromo,-,"A aeronave decolaria da Área de Pouso para Uso Aeroagrícola Granja Santa Lourdes, município de Uruguaiana, RS, por volta das 14h30min (UTC), a fim de realizar voo local de pulverização, com um tripulante a bordo.Durante a corrida de decolagem, o piloto avistou a incursão de animais na pista e abortou a decolagem, contudo, houve a saída da pista pela lateral esquerda.A aeronave teve danos substanciais.O tripulante saiu ileso.",PRWGC,TPP,RE,Decolagem,Operação Agrícola,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,AT-502B,L1T,AT5T,3629.0,1.0,AIR TRACTOR,verdadeiro
25924,202048543,ANTONIO CEOLIN,Acidente,2020-10-16,14:30:00,URUGUAIANA,RS,Sul,COLISÃO COM FAUNA,Fora de Aeródromo,-,"A aeronave decolaria da Área de Pouso para Uso Aeroagrícola Granja Santa Lourdes, município de Uruguaiana, RS, por volta das 14h30min (UTC), a fim de realizar voo local de pulverização, com um tripulante a bordo.Durante a corrida de decolagem, o piloto avistou a incursão de animais na pista e abortou a decolagem, contudo, houve a saída da pista pela lateral esquerda.A aeronave teve danos substanciais.O tripulante saiu ileso.",PRWGC,TPP,WILD,Decolagem,Operação Agrícola,Substancial,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,AT-502B,L1T,AT5T,3629.0,1.0,AIR TRACTOR,verdadeiro
24423,PT-VEH 19MAI2020 10H40 SERIPA4,RUBENS ALVES DA SILVA,Acidente,2020-05-19,10:40,Tietê,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SDET,Público,"A AERONAVE DECOLOU DO AERÓDROMO DE TIÊTE (SDTE), SP, COM DESTINO AO AERÓDROMO DE PENÁPOLIS (SDPN), SP, COM DOIS TRIPULANTES A BORDO, PARA REALIZAÇÃO DE UM VOO DE TRANSLADO. APÓS REALIZAR UMA PASSAGEM BAIXA SOBRE A PISTA PARA VERIFICAÇÃO DO TREM DE POUSO, A AERONAVE CURVOU À ESQUERDA E SE CHOCOU CONTRA O SOLO. A AERONAVE FICOU DESTRUÍDA PELO FOGO. OS DOIS TRIPULANTES FALECERAM NO LOCAL.",PTVEH,TPP,SCF-PP,Decolagem,Voo Privado,Destruída,SDPN,SDET,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMB-810D,L2P,PA34,2155.0,6.0,NEIVA,verdadeiro
24423,PT-VEH 19MAI2020 10H40 SERIPA4,RUBENS ALVES DA SILVA,Acidente,2020-05-19,10:40,Tietê,SP,Sudeste,PERDA DE CONTROLE EM VOO,SDET,Público,"A AERONAVE DECOLOU DO AERÓDROMO DE TIÊTE (SDTE), SP, COM DESTINO AO AERÓDROMO DE PENÁPOLIS (SDPN), SP, COM DOIS TRIPULANTES A BORDO, PARA REALIZAÇÃO DE UM VOO DE TRANSLADO. APÓS REALIZAR UMA PASSAGEM BAIXA SOBRE A PISTA PARA VERIFICAÇÃO DO TREM DE POUSO, A AERONAVE CURVOU À ESQUERDA E SE CHOCOU CONTRA O SOLO. A AERONAVE FICOU DESTRUÍDA PELO FOGO. OS DOIS TRIPULANTES FALECERAM NO LOCAL.",PTVEH,TPP,LOC-I,Decolagem,Voo Privado,Destruída,SDPN,SDET,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMB-810D,L2P,PA34,2155.0,6.0,NEIVA,verdadeiro
25925,202039322,,Incidente Grave,2020-03-01,23:00:00,CUIABÁ,MT,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SBCY,Público,"A aeronave decolou do Aeroporto Cidade do Panamá Paitilla (MPMG), Panamá, com destino ao Aeródromo de Viracopos (SBKP), Campinas, SP, a fim de realizar voo privado, com dois pilotos e dois passageiros a bordo.Durante o voo de cruzeiro no FL 450 ocorreram múltiplos maus funcionamentos nos sistemas da aeronave, culminando com a falha em ambos os motores. Durante a descida, ao cruzar o FL 280, os pilotos conseguiram reacender os dois motores. Foi declarada situação de emergência. O pouso foi alternado para o Aeródromo Marechal Rondon (SBCY), Cuiabá, MT. A aeronave pousou normalmente.Não houve danos à aeronave.Todos a bordo saíram ilesos.",N36DA,Estrangeira,SCF-PP,Cruzeiro,Voo Privado,Nenhum,SBKP,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,verdadeiro
